time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
14070.707,-0.224,0.01,0.978,-5.744,-35.126,-0.774,13.0441806390114,-7.89581990415325,-44.1906797032701
14147.216,-0.224,0.01,0.978,-5.744,-35.126,-0.774,15.6212247649499,-7.05702430660098,-42.627225317518
14149.491,-0.151,0.006,1.036,-15.268,-44.34,0.468,15.6212247649499,-7.05702430660098,-42.627225317518
14230.096,-0.104,-0.021,0.996,-9.283,-32.711,-0.66,15.6212247649499,-7.05702430660098,-42.627225317518
14247.14,-0.104,-0.021,0.996,-9.283,-32.711,-0.66,18.0744625012738,-5.97366596956152,-42.8617434753809
14308.867,-0.079,-0.038,1.051,1.15,-26.079,-1.933,18.0744625012738,-5.97366596956152,-42.8617434753809
14346.421,-0.079,-0.038,1.051,1.15,-26.079,-1.933,18.7802385856006,-7.17836580620934,-42.1581890017924
14387.652,-0.058,-0.006,1.039,5.687,-17.539,1.33,18.7802385856006,-7.17836580620934,-42.1581890017924
14443.66,-0.058,-0.006,1.039,5.687,-17.539,1.33,19.4815814091628,-7.4186564087182,-42.3145344403676
14468.488,-0.043,0.005,0.979,9.1,-10.858,0.485,19.4815814091628,-7.4186564087182,-42.3145344403676
14542.94,-0.043,0.005,0.979,9.1,-10.858,0.485,20.5340440825425,-7.05804961947579,-42.1581890017924
14547.266,-0.026,0.002,1.033,6.23,-13.265,-1.828,20.5340440825425,-7.05804961947579,-42.1581890017924
14625.826,-0.007,-0.002,1.031,3.325,-11.06,-0.621,20.5340440825425,-7.05804961947579,-42.1581890017924
14642.87,-0.007,-0.002,1.031,3.325,-11.06,-0.621,21.1208147231884,-7.78063028179369,-41.845498124642
14706.654,0.002,0.009,1.031,2.016,-8.898,0.188,21.1208147231884,-7.78063028179369,-41.845498124642
14740.11,0.002,0.009,1.031,2.016,-8.898,0.188,22.173398525869,-8.14140795651524,-41.9236708439296
14785.437,0.007,0.011,1.022,2.839,-3.25,0.293,22.173398525869,-8.14140795651524,-41.9236708439296
14839.394,0.007,0.011,1.022,2.839,-3.25,0.293,21.8227685648382,-7.4201943780304,-41.6109799667792
